SIMPLE, GAME, SCORE, USER
Eudicot Root,SelectorGame,100,yirtian
Fish Heart,SelectorGame,100,yirtian
Fish Heart,SelectorGame,100,mebad
Flower,SelectorGame,67,yirtian
Free Energy Diagram,SelectorGame,100,yirtian
Flower,SelectorGame,100,mebad
Flower,SelectorGame,67,mebad
Free Energy Diagram,SelectorGame,100,mebad
Human Excretory System,SelectorGame,67,mebad
Human Excretory System,SelectorGame,100,mebad
Human Respiratory System,SelectorGame,0,yirtian
Human Respiratory System,SelectorGame,0,yirtian
Human Respiratory System,SelectorGame,100,yirtian
Monocot Root,SelectorGame,100,mebad
Amino Acid,SelectorGame,100,gmonti
Monocot Stem,SelectorGame,100,mebad
Amphibian Heart,SelectorGame,67,gmonti
Bird or Mammal Heart,SelectorGame,100,gmonti
Eudicot Stem,SelectorGame,100,mebad
DNA Structure,SelectorGame,100,gmonti
Eudicot Root,SelectorGame,100,gmonti
Fish Heart,SelectorGame,100,gmonti
Flower,SelectorGame,67,gmonti
Free Energy Diagram,SelectorGame,100,gmonti
Human Excretory System,SelectorGame,100,gmonti
Human Respiratory System,SelectorGame,67,gmonti
Monocot Root,SelectorGame,100,gmonti
Monocot Stem,SelectorGame,100,gmonti
Eudicot Stem,SelectorGame,100,gmonti
Eudicot Root,SelectorGame,67,aorlassino
Monocot Root,SelectorGame,67,aorlassino
Monocot Root,SelectorGame,67,jboble
Eudicot Root,SelectorGame,100,jboble
DNA Structure,SelectorGame,100,aorlassino
Monocot Stem,SelectorGame,67,jboble
Amino Acid,SelectorGame,100,jsyong
Amphibian Heart,SelectorGame,34,jsyong
Amphibian Heart,SelectorGame,100,jsyong
Amphibian Heart,SelectorGame,100,maboyd
Amino Acid,SelectorGame,100,ctondo
Bird or Mammal Heart,SelectorGame,0,jsyong
Amphibian Heart,SelectorGame,100,ctondo
DNA Structure,SelectorGame,0,jsyong
DNA Structure,SelectorGame,34,maboyd
DNA Structure,SelectorGame,0,jsyong
Eudicot Root,SelectorGame,0,maboyd
Flower,SelectorGame,100,maboyd
Eudicot Root,SelectorGame,67,jsyong
Monocot Stem,SelectorGame,0,maboyd
Monocot Root,SelectorGame,100,maboyd
Amino Acid,TypingGame,100,npyun
Amino Acid,SelectorGame,100,npyun
Flower,SelectorGame,100,jsyong
Phylogenetic Tree,SelectorGame,34,maboyd
DNA Structure,TypingGame,0,npyun
Eudicot Stem,SelectorGame,100,maboyd
DNA Structure,SelectorGame,67,npyun
Phylogenetic Tree,SelectorGame,100,jsyong
Eudicot Root,SelectorGame,0,npyun
Monocot Root,SelectorGame,67,jsyong
Eudicot Root,SelectorGame,67,npyun
Monocot Stem,SelectorGame,67,jsyong
Flower,SelectorGame,0,npyun
Flower,SelectorGame,67,npyun
Eudicot Stem,SelectorGame,67,jsyong
Amino Acid,SelectorGame,100,kfleissner
Amino Acid,TypingGame,67,kfleissner
Eudicot Stem,SelectorGame,67,rhossan
Eudicot Stem,SelectorGame,67,kfleissner
Amino Acid,SelectorGame,67,rhossan
Monocot Root,SelectorGame,67,kfleissner
DNA Structure,SelectorGame,0,kfleissner
Monocot Root,TypingGame,100,kriruiz
Eudicot Root,TypingGame,100,kriruiz
Flower,TypingGame,100,kriruiz
Bird or Mammal Heart,SelectorGame,67,jsyong
Monocot Stem,TypingGame,0,zboorin
Flower,TypingGame,0,zboorin
Flower,SelectorGame,0,zboorin
Flower,SelectorGame,0,zboorin
Flower,TypingGame,0,zboorin
Flower,TypingGame,0,zboorin
Flower,TypingGame,0,zboorin
Amino Acid,TypingGame,0,aripa
Amino Acid,TypingGame,0,kkobra
Amino Acid,TypingGame,0,kkobra
Amino Acid,SelectorGame,67,kkobra
Amino Acid,SelectorGame,100,kkobra
Amphibian Heart,SelectorGame,100,kkobra
Amphibian Heart,TypingGame,0,kkobra
Bird or Mammal Heart,SelectorGame,100,kkobra
DNA Structure,SelectorGame,100,kkobra
Eudicot Root,SelectorGame,100,kkobra
Eudicot Root,SelectorGame,100,kkobra
